Street #,Street Name,Street Type,Parcel #,Record #,Record Type,Status,Filed Date,Status Date,Description,Related Records,Balance,Created By
445,STATEN,AVE,010 077600400,SS111260,Soft Story,Expired,8/26/11,3/16/12,Soft story screening - Level 1.,,0,
1648,10TH,AVE,020 019100103,SS111256,Soft Story,Expired,8/25/11,3/16/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
1924,9TH,AVE,021 026901101,SS111251,Soft Story,Expired,8/25/11,3/16/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
1934,9TH,AVE,021 026901200,SS111252,Soft Story,Expired,8/25/11,3/16/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
226,ATHOL,AVE,021 022403302,SS111254,Soft Story,Expired,8/25/11,3/16/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
240,ATHOL,AVE,021 022901901,SS111255,Soft Story,Expired,8/25/11,3/16/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
2531,DAMUTH,ST,029 099100401,SS111253,Soft Story,Expired,8/25/11,3/16/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
733,JEAN,ST,010 083303301,SS111250,Soft Story,Expired,8/25/11,3/16/12,Soft-Story Seismic Screening Program - Level 1 screening.,,0,
4180,OPAL,ST,012 100403700,SS111249,Soft Story,Expired,8/25/11,3/16/12,EXEMPTED - PREVIOUS SEISMIC RETROFIT UNDER PERMIT B0005434,,0,
1530,HARRISON,ST,008 062602800,SS111247,Soft Story,Expired,8/24/11,3/16/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
486,MANDANA,BLVD,011 084201400,SS111248,Soft Story,Expired,8/24/11,3/16/12,soft story level one screening,,0,
1553,ALICE,ST,008 062600800,SS111243,Soft Story,Expired,8/23/11,3/16/12,LEVEL 1 SCREENING REQUIRED,,0,
366,BELLEVUE,AVE,010 078402701,SS111242,Soft Story,Expired,8/23/11,3/16/12,LEVEL 1 SCREENING REQUIRED,,0,
1627,HIGH,ST,035 235300800,SS111245,Soft Story,Expired,8/23/11,3/16/12,LEVEL 1 SCREENING REQUIRED,,0,
7801,NEY,AVE,040A341001400,SS111241,Soft Story,Expired,8/23/11,3/16/12,LEVEL 2 SCREENING REQUIRED - SIGNIFICANT SLOPE,,0,
389,PALM,AVE,010 078600600,SS111246,Soft Story,Expired,8/23/11,3/16/12,LEVEL 2 SCREENING REQUIRED,,0,
508,VALLE VISTA,AVE,010 082707400,SS111244,Soft Story,Expired,8/23/11,3/16/12,LEVEL 2 SCREENING REQUIRED,,0,
1664,35TH,AVE,033 212902002,SS111240,Soft Story,Expired,8/22/11,3/16/12,Soft-story screening - Level 1.,,0,
2515,76TH,AVE,040 333600800,SS111237,Soft Story,Expired,8/19/11,2/29/12,LEVEL 1 SCREENING REQUIRED,,0,
2606,9TH,AVE,022 034202900,SS111238,Soft Story,Expired,8/19/11,2/29/12,LEVEL 1 SCREENING REQUIRED,,0,
2856,CARMEL,ST,029 098205500,SS111239,Soft Story,Expired,8/19/11,2/29/12,LEVEL 1 SCREENING REQUIRED,,0,
440,ADAMS,ST,010 078500300,SS111232,Soft Story,Expired,8/18/11,2/29/12,LEVEL 1 SCREENING REQUIRED,,0,
5760,FOOTHILL,BLVD,038 317706600,SS111231,Soft Story,Expired,8/18/11,2/29/12,soft story level one screening,,0,
6838,MACARTHUR,BLVD,037A275505002,SS111235,Soft Story,Expired,8/18/11,2/29/12,"Level 1 screening for a 2 story, 2 unit apt.bldg.w/parking below.",,0,
6840,MACARTHUR,BLVD,037A275505002,SS111234,Soft Story,Expired,8/18/11,2/29/12,"Level 1 screening for a 2 story, 10 unit apt.bldg.w/parking below.",,0,
344,MONTE VISTA,AVE,012 092700400,SS111236,Soft Story,Expired,8/18/11,2/29/12,EXEMPTED - ENGINEERING DETERMINATION LETTER,,0,
424,STATEN,AVE,010 077804700,SS111233,Soft Story,Expired,8/18/11,2/29/12,EXEMPTED - ENGINEERING DETERMINATION LETTER,,0,
425,E 18TH,ST,021 022200302,SS111228,Soft Story,Expired,8/17/11,2/29/12,LEVEL 2 SCREENING REQUIRED,,0,
5476,VICENTE,WY,014 122801102,SS111229,Soft Story,Expired,8/17/11,2/29/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
810,WALKER,AVE,011 084301700,SS111230,Soft Story,Expired,8/17/11,2/29/12,LEVEL 2 SCREENING REQUIRED,,0,
996,60TH,ST,015 134100900,SS111224,Soft Story,Expired,8/16/11,2/29/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
3002,BONA,ST,027 085303500,SS111225,Soft Story,Expired,8/16/11,2/29/12,LEVEL 1 SCREENING REQUIRED,,0,
3873,HOWE,ST,012 098500900,SS111227,Soft Story,Expired,8/16/11,2/29/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
373,STATEN,AVE,010 078200600,SS111226,Soft Story,Expired,8/16/11,2/29/12,EXEMPTED - ENGINEERING DETERMINATION LETTER,,0,
276,ADAMS,ST,010 078801900,SS111223,Soft Story,Expired,8/12/11,2/29/12,LEVEL 2 SCREENING REQUIRED,,0,
841,ERIE,ST,011 084000800,SS111218,Soft Story,Expired,8/12/11,2/29/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
2204,LAKESHORE,AVE,023 041401103,SS111219,Soft Story,Expired,8/12/11,2/29/12,LEVEL 1 SCREENING REQUIRED,,0,
281,MACARTHUR,BLVD,010 078500702,SS111222,Soft Story,Expired,8/12/11,2/29/12,LEVEL 2 SCREENING REQUIRED,,0,
257,VERNON,ST,010 079501200,SS111220,Soft Story,Expired,8/12/11,2/29/12,LEVEL 2 SCREENING REQUIRED,,0,
350,VERNON,ST,010 079002601,SS111221,Soft Story,Expired,8/12/11,2/29/12,LEVEL 2 SCREENING REQUIRED,,0,
1833,33RD,AVE,033 211700900,SS111209,Soft Story,Expired,8/11/11,2/29/12,LEVEL 1 SCREENING REQUIRED,,0,
309,63RD,ST,048A706900600,SS111213,Soft Story,Expired,8/11/11,2/29/12,EXEMPTED - HAS LESS THAN 5 RESIDENTIAL UNITS,,0,
6225,ANTIOCH,ST,048F735400601,SS111217,Soft Story,Expired,8/11/11,2/29/12,LEVEL 1 SCREENING REQUIRED,,0,
420,BURK,ST,010 078002203,SS111216,Soft Story,Expired,8/11/11,2/29/12,EXEMPTED - ENGINEERING DETERMINATION LETTER,,0,
6558,LUCAS,AVE,048F735502600,SS111214,Soft Story,Expired,8/11/11,8/15/12,LEVEL 2 SCREENING REQUIRED - SIGNIFICANT SLOPE,,0,
2240,MACARTHUR,BLVD,029A130402400,SS111212,Soft Story,Expired,8/11/11,2/29/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
3351,RICHMOND,BLVD,009 073100800,SS111211,Soft Story,Expired,8/11/11,2/29/12,LEVEL 1 SCREENING REQUIRED,,0,
1021,WARFIELD,AVE,011 085601300,SS111208,Soft Story,Expired,8/11/11,2/29/12,EXEMPTED - PREVIOUS SEISMIC RETROFIT UNDER PERMIT B9501804,,0,
230,WAYNE,AVE,021 022602101,SS111215,Soft Story,Expired,8/11/11,2/29/12,EXEMPTED - ENGINEERING DETERMINATION LETTER,,0,
282,WAYNE,AVE,021 022600100,SS111210,Soft Story,Expired,8/11/11,2/29/12,LEVEL 1 SCREENING REQUIRED,,0,
3733,39TH,AVE,,SS111206,Soft Story,Expired,8/10/11,2/29/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
415,ADAMS,ST,010 079000400,SS111207,Soft Story,Expired,8/10/11,2/29/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
302,HANOVER,AVE,021 022700101,SS111202,Soft Story,Expired,8/10/11,2/29/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
3845,HARRISON,ST,010 081400301,SS111205,Soft Story,Expired,8/10/11,2/29/12,EXEMPTED - ENGINEERING DETERMINATION LETTER,,0,
3933,HARRISON,ST,012 092901000,SS111203,Soft Story,Expired,8/10/11,2/29/12,EXEMPTED - ENGINEERING DETERMINATION LETTER,,0,
3840,HOWE,ST,012 098603901,SS111204,Soft Story,Expired,8/10/11,2/29/12,EXEMPTED - ENGINEERING DETERMINATION LETTER,,0,
286,LENOX,AVE,010 077301400,SS111201,Soft Story,Expired,8/10/11,2/29/12,LEVEL 1 SCREENING REQUIRED,,0,
2268,82ND,AVE,043 457302200,SS111200,Soft Story,Expired,8/9/11,2/29/12,LEVEL 1 SCREENING REQUIRED,,0,
1127,86TH,AVE,042 426100901,SS111192,Soft Story,Expired,8/9/11,2/29/12,EXEMPTED - HAS LESS THAN 5 RESIDENTIAL UNITS,,0,
3014,E 19TH,ST,025 072601800,SS111197,Soft Story,Expired,8/9/11,2/29/12,LEVEL 1 SCREENING REQUIRED,,0,
1346,E 24TH,ST,022 033101000,SS111194,Soft Story,Expired,8/9/11,2/29/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
1536,FRUITVALE,AVE,033 212102900,SS111198,Soft Story,Expired,8/9/11,2/29/12,LEVEL 1 SCREENING REQUIRED,,0,
2434,FRUITVALE,AVE,027 084101600,SS111199,Soft Story,Expired,8/9/11,2/29/12,LEVEL 1 SCREENING REQUIRED,,0,
6582,LUCAS,AVE,048F735101701,SS111196,Soft Story,Expired,8/9/11,2/29/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
2531,MARKET,ST,005 043200600,SS111193,Soft Story,Expired,8/9/11,2/29/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
4101,PORTER,ST,032 203100400,SS111195,Soft Story,Expired,8/9/11,2/29/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
184,13TH,ST,002 007900600,SS111186,Soft Story,Expired,8/7/11,2/29/12,EXEMPTED - PREVIOUS SEISMIC RETROFIT UNDER PERMIT B0900677,,0,
145,17TH,ST,008 063000100,SS111188,Soft Story,Expired,8/7/11,2/29/12,LEVEL 1 SCREENING REQUIRED,,0,
2662,23RD,AVE,026 077600102,SS111182,Soft Story,Expired,8/7/11,2/29/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
1703,24TH,AVE,020 020500700,SS111181,Soft Story,Expired,8/7/11,2/29/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
483,38TH,ST,012 097402500,SS111173,Soft Story,Expired,8/7/11,2/29/12,EXEMPTED - PREVIOUS SEISMIC RETROFIT UNDER PERMIT B0401898,,0,
1927,5TH,AVE,021 027700500,SS111171,Soft Story,Expired,8/7/11,2/29/12,LEVEL 2 SCREENING REQUIRED,,0,
5452,BANCROFT,AVE,035 238900500,SS111166,Soft Story,Expired,8/7/11,2/29/12,LEVEL 1 SCREENING REQUIRED,,78.6,
5460,BANCROFT,AVE,035 238900300,SS111167,Soft Story,Expired,8/7/11,2/29/12,LEVEL 2 SCREENING REQUIRED,,0,
556,BODEN,WY,023 041901803,SS111191,Soft Story,Expired,8/7/11,2/29/12,LEVEL 2 SCREENING REQUIRED,,0,
3010,BONA,ST,027 085303400,SS111180,Soft Story,Expired,8/7/11,2/29/12,LEVEL 2 SCREENING REQUIRED,,0,
2121,E 17TH,ST,020 020000200,SS111189,Soft Story,Expired,8/7/11,2/29/12,LEVEL 1 SCREENING REQUIRED,,0,
1725,E 22ND,ST,021 028902501,SS111163,Soft Story,Expired,8/7/11,2/29/12,LEVEL 1 SCREENING REQUIRED,,0,
438,ELWOOD,AVE,010 082703900,SS111169,Soft Story,Expired,8/7/11,2/29/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
54,GLEN,AVE,012 099200403,SS111183,Soft Story,Expired,8/7/11,2/29/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
8036,GREENRIDGE,DR,040A345702101,SS111176,Soft Story,Expired,8/7/11,2/29/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
1520,JACKSON,ST,008 062901500,SS111175,Soft Story,Expired,8/7/11,2/29/12,EXEMPTED - ENGINEERING DETERMINATION LETTER,,0,
3217,LIESE,AVE,032 203108600,SS111179,Soft Story,Expired,8/7/11,2/29/12,LEVEL 1 SCREENING REQUIRED,,0,
24,LINDA,AVE,012 099002900,SS111170,Soft Story,Expired,8/7/11,2/29/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
345,MACARTHUR,BLVD,010 078501502,SS111174,Soft Story,Expired,8/7/11,2/29/12,EXEMPTED - ENGINEERING DETERMINATION LETTER,,0,
4251,MONTGOMERY,ST,013 111101200,SS111184,Soft Story,Expired,8/7/11,2/29/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
3084,RICHMOND,BLVD,010 080703700,SS111178,Soft Story,Expired,8/7/11,2/29/12,LEVEL 2 SCREENING REQUIRED,,0,
3400,SALISBURY,ST,027 087703400,SS111190,Soft Story,Expired,8/7/11,2/29/12,LEVEL 1 SCREENING REQUIRED,,0,
417,STATEN,AVE,010 077700400,SS111185,Soft Story,Expired,8/7/11,2/29/12,EXEMPTED - PREVIOUS SEISMIC RETROFIT UNDER PERMIT RB1101984,,0,
4210,TELEGRAPH,AVE,013 109702700,SS111172,Soft Story,Expired,8/7/11,2/29/12,EXEMPTED - PREVIOUS SEISMIC RETROFIT UNDER PERMIT B0405516,,0,
2341,VALLEY,ST,008 066500400,SS111187,Soft Story,Expired,8/7/11,2/29/12,EXEMPTED - ENGINEERING DETERMINATION LETTER,,0,
275,VERNON,ST,010 079500914,SS111165,Soft Story,Expired,8/7/11,2/29/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
660,VERNON,ST,010 083102300,SS111164,Soft Story,Expired,8/7/11,2/29/12,EXEMPTED - ENGINEERING DETERMINATION LETTER,,0,
324,WARWICK,AVE,010 078602700,SS111177,Soft Story,Expired,8/7/11,2/29/12,EXEMPTED - ENGINEERING DETERMINATION LETTER,,0,
2,WHITMORE,PL,013 110800504,SS111168,Soft Story,Expired,8/7/11,2/29/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
2018,13TH,AVE,021 026001300,SS111149,Soft Story,Expired,8/6/11,2/15/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
2732,21ST,AVE,022 036401302,SS111153,Soft Story,Expired,8/6/11,2/15/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
1722,27TH,AVE,025 073102200,SS111162,Soft Story,Expired,8/6/11,2/15/12,LEVEL 1 SCREENING REQUIRED,,0,
275,41ST,ST,012 099600300,SS111160,Soft Story,Expired,8/6/11,2/15/12,LEVEL 1 SCREENING REQUIRED,,0,
160,9TH,ST,002 008302400,SS111161,Soft Story,Expired,8/6/11,2/15/12,EXEMPTED - ENGINEERING DETERMINATION LETTER,,0,
245,FAIRMOUNT,AVE,010 080300104,SS111147,Soft Story,Expired,8/6/11,2/15/12,,,0,
291,FAIRMOUNT,AVE,010 080601600,SS111159,Soft Story,Expired,8/6/11,2/15/12,LEVEL 1 SCREENING REQUIRED,,0,
3720,FRUITVALE,AVE,029A130503501,SS111146,Soft Story,Expired,8/6/11,2/15/12,LEVEL 1 SCREENING REQUIRED,,0,
2701,HIGH,ST,032 205809800,SS111156,Soft Story,Expired,8/6/11,2/15/12,LEVEL 1 SCREENING REQUIRED,,0,
3105,HIGH,ST,032 203210400,SS111154,Soft Story,Expired,8/6/11,2/15/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
544,INTERNATIONAL,BLVD,020 013400600,SS111152,Soft Story,Expired,8/6/11,2/15/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
1342,LAKESHORE,AVE,020 012902600,SS111151,Soft Story,Expired,8/6/11,2/15/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
1400,LAKESHORE,AVE,020 012902700,SS111150,Soft Story,Expired,8/6/11,2/15/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
305,LENOX,AVE,010 077100800,SS111157,Soft Story,Expired,8/6/11,2/15/12,EXEMPTION - ENGINEERING DETERMINATION LETTER ON FILE,,0,
259,MACARTHUR,BLVD,010 078500500,SS111155,Soft Story,Expired,8/6/11,2/15/12,LEVEL 1 SCREENING REQUIRED,,0,
589,MERRITT,AVE,023 041802800,SS111158,Soft Story,Expired,8/6/11,2/15/12,LEVEL 2 SCREENING REQUIRED,,0,
400,ORANGE,ST,010 079102600,SS111148,Soft Story,Expired,8/6/11,2/15/12,LEVEL 2 SCREENING REQUIRED,,0,
2220,10TH,AVE,022 030201100,SS111129,Soft Story,Expired,8/4/11,2/15/12,LEVEL 1 SCREENING REQUIRED,,0,
3230,14TH,AVE,022 037200301,SS111127,Soft Story,Expired,8/4/11,2/15/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
274,40TH,ST,,SS111128,Soft Story,Expired,8/4/11,2/15/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
385,ADAMS,ST,010 079001400,SS111143,Soft Story,Expired,8/4/11,2/15/12,LEVEL 2 SCREENING PROVIDED,,0,
425,ALCATRAZ,AVE,016 140101401,SS111125,Soft Story,Expired,8/4/11,2/15/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
5412,CLAREMONT,AVE,014 125600302,SS111126,Soft Story,Expired,8/4/11,2/15/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
6663,FOOTHILL,BLVD,039 327502400,SS111139,Soft Story,Expired,8/4/11,2/15/12,LEVEL 1 SCREENING REQUIRED,,0,
2673,GRANDE VISTA,AVE,026 077700200,SS111131,Soft Story,Expired,8/4/11,2/15/12,LEVEL 1 SCREENING REQUIRED,,0,
2616,HARRISON,ST,010 079503000,SS111142,Soft Story,Expired,8/4/11,2/15/12,LEVEL 2 SCREENING PROVIDED,,78.6,
2122,HIGH,ST,032 204702600,SS111136,Soft Story,Expired,8/4/11,2/15/12,LEVEL 1 SCREENING REQUIRED,,0,
2338,INTERNATIONAL,BLVD,020 015300900,SS111137,Soft Story,Expired,8/4/11,2/15/12,LEVEL 1 SCREENING REQUIRED,,0,
3600,LAKESHORE,AVE,011 087201600,SS111140,Soft Story,Expired,8/4/11,2/15/12,LEVEL 1 SCREENING REQUIRED,,0,
3550,LAUREL,AVE,028 094503500,SS111145,Soft Story,Expired,8/4/11,2/15/12,LEVEL 1 SCREENING REQUIRED,,0,
3700,LINCOLN,AVE,029 099402700,SS111134,Soft Story,Expired,8/4/11,2/15/12,soft story level one screening,,0,
157,MONTECITO,AVE,010 076900900,SS111141,Soft Story,Expired,8/4/11,2/15/12,LEVEL 1 SCREENING REQUIRED,,0,
3761,PARK BOULEVARD,WY,024 053204301,SS111135,Soft Story,Expired,8/4/11,2/15/12,LEVEL 1 SCREENING REQUIRED,,0,
3227,PRENTISS,ST,027 084300201,SS111130,Soft Story,Expired,8/4/11,2/15/12,LEVEL 2 SCREENING REQUIRED,,0,
388,STATEN,AVE,010 078301601,SS111133,Soft Story,Expired,8/4/11,2/15/12,LEVEL 1 SCREENING REQUIRED,,0,
429,STATEN,AVE,010 077600100,SS111132,Soft Story,Expired,8/4/11,2/15/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
942,VERMONT,ST,011 085102800,SS111138,Soft Story,Expired,8/4/11,2/15/12,LEVEL 1 SCREENING REQUIRED,,0,
3440,WILSON,AVE,028 091002500,SS111144,Soft Story,Expired,8/4/11,2/15/12,LEVEL 1 SCREENING REQUIRED,,0,
3104,14TH,AVE,022 037101600,SS111121,Soft Story,Expired,8/3/11,2/15/12,LEVEL 1 SCREENING REQUIRED,,0,
3112,14TH,AVE,022 037101700,SS111122,Soft Story,Expired,8/3/11,2/15/12,LEVEL 1 SCREENING REQUIRED,,0,
1233,3RD,AVE,020 012700602,SS111112,Soft Story,Withdraw,8/3/11,9/7/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
473,ALCATRAZ,AVE,016 139103900,SS111114,Soft Story,Expired,8/3/11,2/15/12,LEVEL 1 SCREENING,,0,
642,ALCATRAZ,AVE,016 142701400,SS111120,Soft Story,Expired,8/3/11,2/15/12,LEVEL 1 SCREENING REQUIRED,,0,
648,ALCATRAZ,AVE,016 142701500,SS111119,Soft Story,Expired,8/3/11,2/15/12,LEVEL 1 SCREENING REQUIRED,,0,
3649,DIMOND,AVE,029A130100303,SS111113,Soft Story,Expired,8/3/11,2/15/12,EXEMPTED - ENGINEERING DETERMINATION LETTER,,0,
528,E 11TH,ST,019 003100700,SS111109,Soft Story,Expired,8/3/11,2/15/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
536,E 11TH,ST,019 003100600,SS111110,Soft Story,Expired,8/3/11,2/15/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
245,FAIRMOUNT,AVE,010 080300104,SS111124,Soft Story,Expired,8/3/11,2/15/12,LEVEL 2 SCREENING REQUIRED,,0,
3000,FRUITVALE,AVE,027 086001800,SS111117,Soft Story,Expired,8/3/11,2/15/12,LEVEL 1 SCREENING REQUIRED,,0,
3711,FRUITVALE,AVE,029A130200300,SS111111,Soft Story,Expired,8/3/11,2/15/12,LEVEL 1 SCREENING REQUIRED,,0,
3877,HOWE,ST,012 098506300,SS111123,Soft Story,Expired,8/3/11,2/15/12,LEVEL 2 SCREENING REQUIRED,,0,
271,JAYNE,AVE,010 078801100,SS111118,Soft Story,Expired,8/3/11,2/15/12,LEVEL 1 SCREENING REQUIRED,,0,
3721,LINCOLN,AVE,029A130501401,SS111115,Soft Story,Expired,8/3/11,2/15/12,LEVEL 1 SCREENING REQUIRED,,0,
1115,MADISON,ST,002 008100400,SS111116,Soft Story,Expired,8/3/11,2/15/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
2436,25TH,AVE,026 078404700,SS111108,Soft Story,Expired,8/2/11,2/15/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
3116,38TH,AVE,032 203110300,SS111107,Soft Story,Expired,8/2/11,2/15/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
535,BELLEVUE,AVE,010 076601000,SS111105,Soft Story,Expired,8/2/11,2/15/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
2515,IVY,DR,022 033700300,SS111102,Soft Story,Expired,8/2/11,2/15/12,LEVEL 1 SCREENING REQUIRED,,0,
8658,MACARTHUR,BLVD,043A463901900,SS111100,Soft Story,Expired,8/2/11,2/15/12,EXEMPTED - HAS LESS THAN 5 RESIDENTIAL UNITS,,0,
394,ORANGE,ST,010 079102500,SS111104,Soft Story,Expired,8/2/11,2/15/12,LEVEL 2 SCREENING REQUIRED - SIGNIFICANT SLOPE,,0,
491,STOW,AVE,022 030903200,SS111101,Soft Story,Expired,8/2/11,2/15/12,LEVEL 2 SCREENING REQUIRED - SIGNIFICANT SLOPE,,0,
677,WESLEY,AVE,023 041802201,SS111106,Soft Story,Expired,8/2/11,2/15/12,LEVEL 2 SCREENING REQUIRED - SIGNIFICANT SLOPE,,0,
34,YOSEMITE,AVE,012 093701400,SS111103,Soft Story,Expired,8/2/11,2/15/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
961,18TH,ST,005 038500200,SS111098,Soft Story,Expired,8/1/11,2/15/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
542,25TH,ST,008 067600900,SS111091,Soft Story,Expired,8/1/11,2/15/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
490,41ST,ST,012 101005000,SS111087,Soft Story,Expired,8/1/11,2/15/12,soft story level one screening,,0,
155,ATHOL,AVE,021 022500502,SS111092,Soft Story,Expired,8/1/11,2/15/12,LEVEL 1 SCREENING REQUIRED Corrected on 6/6/13. previously identified as level 2.,,0,
2531,E 16TH,ST,025 071100201,SS111097,Soft Story,Expired,8/1/11,2/15/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
5471,FOOTHILL,BLVD,035 239000300,SS111094,Soft Story,Expired,8/1/11,2/15/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
3014,FRUITVALE,AVE,027 086002000,SS111099,Soft Story,Expired,8/1/11,2/15/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
2619,HIGH,ST,032 205802101,SS111096,Soft Story,Expired,8/1/11,2/15/12,EXEMPTED - PREVIOUS RETROFIT UNDER PERMIT B0902092,,0,
2232,IVY,DR,022 030500100,SS111089,Soft Story,Expired,8/1/11,2/15/12,soft story level one screening,,0,
2901,NICOL,AVE,027 085502400,SS111095,Soft Story,Expired,8/1/11,2/15/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
285,VAN BUREN,AVE,010 077200200,SS111090,Soft Story,Expired,8/1/11,2/15/12,soft story level one screening,,0,
4133,WEBSTER,ST,012 101002800,SS111088,Soft Story,Withdraw,8/1/11,8/10/11,soft story level screening,,0,
573,WESLEY,AVE,023 041700600,SS111093,Soft Story,Expired,8/1/11,2/15/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
587,105TH,AVE,045 537100303,SS111076,Soft Story,Expired,7/31/11,2/15/12,LEVEL 1 SCREENING REQUIRED,,0,
9714,CHERRY,ST,046 544802200,SS111082,Soft Story,Expired,7/31/11,2/15/12,EXEMPTED,,0,
5160,CLAREMONT,AVE,014 122600100,SS111081,Soft Story,Expired,7/31/11,2/15/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
921,E 28TH,ST,022 034200400,SS111077,Soft Story,Expired,7/31/11,2/15/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
825,ERIE,ST,011 084001000,SS111075,Soft Story,Expired,7/31/11,2/15/12,LEVEL 2 SCREENING REQUIRED - SIGNIFICANT SLOPE,,0,
375,GRAND,AVE,010 076600100,SS111085,Soft Story,Expired,7/31/11,2/15/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
383,GRAND,AVE,010 076600200,SS111086,Soft Story,Expired,7/31/11,2/15/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
2333,IVY,DR,022 033801000,SS111079,Soft Story,Expired,7/31/11,2/15/12,LEVEL 2 SCREENING REQUIRED - SIGNIFICANT SLOPE,,0,
6118,M L KING JR,WY,016 143302200,SS111078,Soft Story,Expired,7/31/11,2/15/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
826,MEAD,AVE,003 000700600,SS111084,Soft Story,Expired,7/31/11,2/15/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
876,MEAD,AVE,003 000900700,SS111083,Soft Story,Expired,7/31/11,2/15/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
9635,PLYMOUTH,ST,046 543601000,SS111074,Soft Story,Expired,7/31/11,2/15/12,LEVEL 1 SCREENING REQUIRED,,0,
303,VAN BUREN,AVE,010 077500100,SS111080,Soft Story,Expired,7/31/11,2/15/12,EXEMPTED - NO LARGE OPENINGS ON GROUND LEVEL,,0,
1925,10TH,AVE,021 026900602,SS111041,Soft Story,Expired,7/29/11,2/15/12,LEVEL 1 SCREENING REQUIRED,,0,
